Order Date,Order ID,Product,Product_ean,category,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin
1/1/2019 3:07,147268,Wired Headphones,4.65E+12,Sports,"9 Lake St, New York City, NY 10001",1,11.99,5.995,11.99,5.995
1/1/2019 3:40,148041,USB-C Charging Cable,9.04E+12,Clothes,"760 Church St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975
1/1/2019 4:56,149343,Apple Airpods Headphones,7.73E+12,Sports,"735 5th St, New York City, NY 10001",1,150,97.5,150,52.5
1/1/2019 5:53,149964,AAA Batteries (4-pack),6.45E+12,Clothes,"75 Jackson St, Dallas, TX 75001",1,2.99,1.495,2.99,1.495
1/1/2019 6:03,149350,USB-C Charging Cable,1.83E+12,Sports,"943 2nd St, Atlanta, GA 30301",2,11.95,5.975,23.9,11.95
1/1/2019 6:13,141732,iPhone,7.42E+12,Alimentation,"446 Pine St, Atlanta, GA 30301",1,700,231,700,469
1/1/2019 6:34,149620,Lightning Charging Cable,6.82E+12,Electronics,"338 Chestnut St, San Francisco, CA 94016",1,14.95,7.475,14.95,7.475
1/1/2019 6:41,142451,AAA Batteries (4-pack),2.38E+12,Clothes,"232 12th St, Boston, MA 02215",1,2.99,1.495,2.99,1.495
1/1/2019 7:24,146039,34in Ultrawide Monitor,6.12E+12,Clothes,"53 River St, San Francisco, CA 94016",1,379.99,125.3967,379.99,254.5933
1/1/2019 7:26,141316,AAA Batteries (4-pack),8.40E+12,Alimentation,"235 South St, Seattle, WA 98101",3,2.99,1.495,8.97,4.485
1/1/2019 7:26,143498,AA Batteries (4-pack),7.95E+12,Sports,"428 Highland St, New York City, NY 10001",3,3.84,1.92,11.52,5.76
1/1/2019 7:29,144804,iPhone,8.71E+12,Clothes,"628 Lake St, New York City, NY 10001",1,700,231,700,469
1/1/2019 7:29,144804,Wired Headphones,6.67E+12,Electronics,"628 Lake St, New York City, NY 10001",1,11.99,5.995,11.99,5.995
1/1/2019 7:33,145270,Google Phone,9.75E+12,Electronics,"392 4th St, Dallas, TX 75001",1,600,198,600,402
1/1/2019 7:35,142789,AAA Batteries (4-pack),7.00E+12,Alimentation,"336 Spruce St, Boston, MA 02215",1,2.99,1.495,2.99,1.495
1/1/2019 7:37,148088,Wired Headphones,1.15E+12,Clothes,"199 Spruce St, San Francisco, CA 94016",1,11.99,5.995,11.99,5.995
1/1/2019 7:46,141364,AA Batteries (4-pack),6.23E+12,Electronics,"657 Lincoln St, Dallas, TX 75001",1,3.84,1.92,3.84,1.92
1/1/2019 7:47,149586,USB-C Charging Cable,7.30E+12,Sports,"631 Lakeview St, San Francisco, CA 94016",1,11.95,5.975,11.95,5.975
1/1/2019 7:48,145878,Macbook Pro Laptop,9.48E+12,Alimentation,"456 5th St, Los Angeles, CA 90001",1,1700,561,1700,1139
1/1/2019 7:53,146056,Lightning Charging Cable,7.83E+12,Electronics,"622 Hill St, Portland, OR 97035",1,14.95,7.475,14.95,7.475
1/1/2019 8:13,144994,ThinkPad Laptop,5.94E+12,Alimentation,"903 Willow St, Los Angeles, CA 90001",1,999.99,329.9967,999.99,669.9933
1/1/2019 8:16,142156,34in Ultrawide Monitor,7.69E+12,Alimentation,"540 2nd St, San Francisco, CA 94016",1,379.99,125.3967,379.99,254.5933
1/1/2019 8:25,150367,Lightning Charging Cable,2.66E+12,Alimentation,"576 West St, Los Angeles, CA 90001",1,14.95,7.475,14.95,7.475
1/1/2019 8:31,149421,Wired Headphones,7.87E+12,Sports,"920 Willow St, Boston, MA 02215",1,11.99,5.995,11.99,5.995
1/1/2019 8:44,143763,Apple Airpods Headphones,8.97E+12,Clothes,"142 Lakeview St, Atlanta, GA 30301",1,150,97.5,150,52.5
1/1/2019 8:48,145082,AAA Batteries (4-pack),9.64E+12,Electronics,"133 West St, San Francisco, CA 94016",3,2.99,1.495,8.97,4.485
1/1/2019 9:03,145990,AAA Batteries (4-pack),9.70E+12,Clothes,"325 Madison St, Dallas, TX 75001",1,2.99,1.495,2.99,1.495
1/1/2019 9:08,142193,27in FHD Monitor,7.27E+12,Sports,"912 Cherry St, Boston, MA 02215",1,149.99,97.4935,149.99,52.4965
1/1/2019 9:08,150394,AAA Batteries (4-pack),3.09E+12,Electronics,"714 6th St, Boston, MA 02215",1,2.99,1.495,2.99,1.495
1/1/2019 9:12,144537,Bose SoundSport Headphones,1.54E+12,Alimentation,"164 West St, Boston, MA 02215",1,99.99,49.995,99.99,49.995
1/1/2019 9:18,147519,AAA Batteries (4-pack),4.56E+12,Clothes,"212 Lake St, San Francisco, CA 94016",2,2.99,1.495,5.98,2.99
1/1/2019 9:21,146459,Lightning Charging Cable,8.68E+12,Alimentation,"444 Dogwood St, San Francisco, CA 94016",2,14.95,7.475,29.9,14.95
1/1/2019 9:23,142134,Google Phone,7.58E+12,Clothes,"734 River St, New York City, NY 10001",1,600,198,600,402
1/1/2019 9:33,149926,iPhone,3.81E+12,Alimentation,"442 Jackson St, Atlanta, GA 30301",1,700,231,700,469
1/1/2019 9:36,146112,USB-C Charging Cable,3.97E+12,Sports,"973 Adams St, Portland, OR 97035",1,11.95,5.975,11.95,5.975
1/1/2019 9:37,150393,Lightning Charging Cable,2.33E+12,Sports,"215 12th St, New York City, NY 10001",1,14.95,7.475,14.95,7.475
1/1/2019 9:38,149378,AA Batteries (4-pack),8.01E+12,Sports,"540 Lincoln St, Atlanta, GA 30301",2,3.84,1.92,7.68,3.84
1/1/2019 9:48,147758,USB-C Charging Cable,1.27E+12,Clothes,"281 North St, Atlanta, GA 30301",1,11.95,5.975,11.95,5.975
1/1/2019 9:58,142439,Flatscreen TV,3.06E+12,Clothes,"635 Adams St, New York City, NY 10001",1,300,99,300,201
1/1/2019 9:58,145165,27in FHD Monitor,3.90E+12,Alimentation,"237 4th St, Boston, MA 02215",1,149.99,97.4935,149.99,52.4965
1/1/2019 10:02,146100,Wired Headphones,9.51E+12,Electronics,"428 13th St, Austin, TX 73301",1,11.99,5.995,11.99,5.995
1/1/2019 10:02,149929,27in 4K Gaming Monitor,8.84E+12,Sports,"167 Johnson St, New York City, NY 10001",1,389.99,128.6967,389.99,261.2933
1/1/2019 10:06,143342,USB-C Charging Cable,7.00E+12,Clothes,"524 Meadow St, Portland, OR 97035",1,11.95,5.975,11.95,5.975
1/1/2019 10:08,143699,27in 4K Gaming Monitor,9.90E+12,Alimentation,"409 Center St, San Francisco, CA 94016",1,389.99,128.6967,389.99,261.2933
1/1/2019 10:09,149579,Macbook Pro Laptop,1.31E+12,Alimentation,"61 Lakeview St, Dallas, TX 75001",1,1700,561,1700,1139
1/1/2019 10:11,142534,AA Batteries (4-pack),5.63E+12,Clothes,"306 Pine St, New York City, NY 10001",3,3.84,1.92,11.52,5.76
1/1/2019 10:12,148978,USB-C Charging Cable,1.51E+12,Electronics,"914 South St, Austin, TX 73301",1,11.95,5.975,11.95,5.975
1/1/2019 10:16,145526,ThinkPad Laptop,2.02E+12,Alimentation,"192 Ridge St, San Francisco, CA 94016",1,999.99,329.9967,999.99,669.9933
1/1/2019 10:21,141613,AAA Batteries (4-pack),9.52E+12,Alimentation,"644 Pine St, Atlanta, GA 30301",1,2.99,1.495,2.99,1.495
1/1/2019 10:23,144902,27in 4K Gaming Monitor,1.57E+12,Electronics,"169 Ridge St, Seattle, WA 98101",1,389.99,128.6967,389.99,261.2933
1/1/2019 10:27,142264,LG Dryer,5.23E+12,Electronics,"338 Main St, Boston, MA 02215",1,600,198,600,402
1/1/2019 10:30,141242,Bose SoundSport Headphones,1.51E+12,Electronics,"867 Willow St, Los Angeles, CA 90001",1,99.99,49.995,99.99,49.995
1/1/2019 10:31,144505,Apple Airpods Headphones,4.27E+12,Alimentation,"89 Center St, Seattle, WA 98101",1,150,97.5,150,52.5
1/1/2019 10:32,145769,Apple Airpods Headphones,3.43E+12,Alimentation,"504 9th St, Austin, TX 73301",1,150,97.5,150,52.5
1/1/2019 10:40,148060,AAA Batteries (4-pack),5.07E+12,Alimentation,"855 12th St, Austin, TX 73301",1,2.99,1.495,2.99,1.495
1/1/2019 10:43,141319,Bose SoundSport Headphones,7.33E+12,Alimentation,"548 Maple St, Boston, MA 02215",1,99.99,49.995,99.99,49.995
